Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
South Wales Police,South-Wales,10,2023,19593,7.8,4,16607,84.8,2624,13.4,362,1.8
South Yorkshire Police,South-Yorkshire,10,2023,23382,11.06,5,18888,80.8,3822,16.3,672,2.9
Staffordshire Police,Staffordshire,10,2023,19664,14.23,5,16419,83.5,2010,10.2,1235,6.3
Suffolk Constabulary,Suffolk,10,2023,10424,11.85,5,9194,88.2,807,7.7,423,4.1
Surrey Police,Surrey,10,2023,14848,16.54,5,11753,79.2,2106,14.2,989,6.7
Sussex Police,Sussex,10,2023,24728,13.05,7,19798,80.1,4040,16.3,890,3.6
Thames Valley Police,Thames-Valley,10,2023,34253,12.92,6,27079,79.1,6039,17.6,1135,3.3
Warwickshire Police,Warwickshire,10,2023,8963,10.71,7,7420,82.8,1440,16.1,103,1.1
West Mercia Police,West-Mercia,10,2023,16076,19.08,8,11562,71.9,3251,20.2,1263,7.9
West Midlands police,West-Midlands,10,2023,68321,8.48,6,59907,87.7,7595,11.1,819,1.2
West Yorkshire Police,West-Yorkshire,10,2023,43216,6.5,4,38349,88.7,4605,10.7,262,0.6
Wiltshire Police,Wiltshire,10,2023,8772,16.35,6,6442,73.4,1772,20.2,558,6.4
Avon and Somerset Constabulary,Avon-and-Somerset,11,2023,25098,12.89,4,20600,82.1,3250,12.9,1248,5
Bedfordshire Police,Bedfordshire,11,2023,10082,12.53,4,8741,86.7,804,8,537,5.3
Cambridgeshire Constabulary,Cambridgeshire,11,2023,11797,18.11,4,9060,76.8,1690,14.3,1047,8.9
Cheshire Constabulary,Cheshire,11,2023,12150,8.11,5,10905,89.8,1059,8.7,186,1.5
Cleveland Police,Cleveland,11,2023,8477,6.97,4,7416,87.5,993,11.7,68,0.8
Cumbria Constabulary,Cumbria,11,2023,5519,7.93,6,4917,89.1,588,10.7,14,0.3
Derbyshire Constabulary,Derbyshire,11,2023,12911,8.01,7,9748,75.5,3146,24.4,17,0.1
Devon & Cornwall Police,Devon-and-Cornwall,11,2023,22729,11.78,8,18215,80.1,3914,17.2,600,2.6
Dorset Police,Dorset,11,2023,9880,10.8,8,7417,75.1,2323,23.5,140,1.4
Durham Constabulary,Durham,11,2023,7759,12.14,8,6182,79.7,1343,17.3,234,3
Dyfed-Powys Police,Dyfed-Powys,11,2023,4897,8.48,4,4111,83.9,690,14.1,96,2
