Police force name,Police force code,Month,Year,"Total Calls
Unrounded","Average answer time
in seconds, unrounded, to 1dp","Median answer time
in seconds, unrounded","Calls answered in under 10 seconds
unrounded","% Calls answered in under 10 seconds
unrounded, to 1dp","Calls answered in 10 to (under) 60 seconds
unrounded","% Calls answered in 10 to (under) 60 seconds
unrounded, to 1dp","Calls answered at 60 seconds or longer
unrounded","% Calls answered at 60 seconds or longer
unrounded, to 1dp"
Greater Manchester Police,Greater-Manchester,7,2024,53479,8.34,4,47026,87.9,5331,10,1122,2.1
Gwent Police,Gwent,7,2024,8249,6.53,4,7677,93.1,486,5.9,86,1
Hampshire Constabulary,Hampshire,7,2024,26443,10.18,7,22664,85.7,3430,13,349,1.3
Hertfordshire Constabulary,Hertfordshire,7,2024,16946,11.05,5,13579,80.1,2884,17,483,2.9
Humberside Police,Humberside,7,2024,14277,6.28,4,13353,93.5,857,6,67,0.5
Kent Police,Kent,7,2024,30893,6.06,4,28569,92.5,2130,6.9,194,0.6
Lancashire Constabulary,Lancashire,7,2024,25946,11.18,7,22112,85.2,3255,12.5,579,2.2
Leicestershire Police,Leicestershire,7,2024,16639,7.95,4,15454,92.9,867,5.2,318,1.9
Lincolnshire Police,Lincolnshire,7,2024,10356,5.13,3,9684,93.5,621,6,51,0.5
Merseyside Police,Merseyside,7,2024,23657,6.45,4,21379,90.4,2069,8.7,209,0.9
Metropolitan Police Service,Metropolitan,7,2024,203720,13.09,6,166479,81.7,28914,14.2,8327,4.1
Norfolk Constabulary,Norfolk,7,2024,11667,7.8,5,10071,86.3,1500,12.9,96,0.8
North Wales Police,North-Wales,7,2024,9794,6.73,4,8429,86.1,1295,13.2,70,0.7
North Yorkshire Police,North-Yorkshire,7,2024,10352,9.49,7,8672,83.8,1631,15.8,49,0.5
Northamptonshire Police,Northamptonshire,7,2024,13092,5.79,4,11957,91.3,1096,8.4,39,0.3
Northumbria Police,Northumbria,7,2024,25589,11.15,6,22115,86.4,2673,10.4,801,3.1
Nottinghamshire Police,Nottinghamshire,7,2024,19021,8.22,5,17034,89.6,1689,8.9,298,1.6
Police Scotland,Scotland,7,2024,66288,11.26,6,53767,81.1,10545,15.9,1976,3
Police Service of Northern Ireland,Northern-Ireland,7,2024,20280,10.01,6,16750,82.6,3112,15.3,418,2.1
South Wales Police,South-Wales,7,2024,20341,8.09,4,17711,87.1,2193,10.8,437,2.1
South Yorkshire Police,South-Yorkshire,7,2024,23388,7.92,5,20072,85.8,3145,13.4,171,0.7
Staffordshire Police,Staffordshire,7,2024,19472,14.42,5,16327,83.8,1866,9.6,1279,6.6
Suffolk Constabulary,Suffolk,7,2024,9988,12.39,5,8617,86.3,939,9.4,432,4.3
Surrey Police,Surrey,7,2024,14656,7.01,5,13516,92.2,1032,7,108,0.7
Sussex Police,Sussex,7,2024,26335,6.3,4,24399,92.6,1652,6.3,284,1.1
Thames Valley Police,Thames-Valley,7,2024,33368,10.21,7,28478,85.3,4375,13.1,515,1.5
Warwickshire Police,Warwickshire,7,2024,9177,11.6,8,7319,79.8,1691,18.4,167,1.8
West Mercia Police,West-Mercia,7,2024,15914,15.2,5,12788,80.4,2087,13.1,1039,6.5
West Midlands police,West-Midlands,7,2024,66355,7.81,6,58929,88.8,7009,10.6,417,0.6
West Yorkshire Police,West-Yorkshire,7,2024,44865,6.24,4,40024,89.2,4638,10.3,203,0.5
Wiltshire Police,Wiltshire,7,2024,8781,14.16,7,6811,77.6,1617,18.4,353,4
Avon and Somerset Constabulary,Avon-and-Somerset,8,2024,28442,8.74,4,24843,87.3,2971,10.4,628,2.2
Bedfordshire Police,Bedfordshire,8,2024,10605,8.02,4,9616,90.7,725,6.8,264,2.5
Cambridgeshire Constabulary,Cambridgeshire,8,2024,13343,7.33,3,12074,90.5,1005,7.5,264,2
Cheshire Constabulary,Cheshire,8,2024,12855,8.26,5,11240,87.4,1461,11.4,154,1.2
Cleveland Police,Cleveland,8,2024,10446,8.61,5,8764,83.9,1548,14.8,134,1.3
Cumbria Constabulary,Cumbria,8,2024,6419,8.03,7,5695,88.7,707,11,17,0.3
Derbyshire Constabulary,Derbyshire,8,2024,14911,7.39,6,12029,80.7,2875,19.3,7,0
Devon & Cornwall Police,Devon-and-Cornwall,8,2024,29019,9.47,7,25730,88.7,2851,9.8,438,1.5
Dorset Police,Dorset,8,2024,12545,11.91,7,10491,83.6,1685,13.4,369,2.9
Durham Constabulary,Durham,8,2024,8337,11.74,8,6607,79.2,1500,18,230,2.8
Dyfed-Powys Police,Dyfed-Powys,8,2024,6264,9.54,4,4983,79.5,1142,18.2,139,2.2
Essex Police,Essex,8,2024,28823,11.39,4,23077,80.1,4604,16,1142,4
Gloucestershire Constabulary,Gloucestershire,8,2024,8016,8.7,6,6517,81.3,1441,18,58,0.7
Greater Manchester Police,Greater-Manchester,8,2024,49750,6.96,4,45434,91.3,3693,7.4,623,1.3
Gwent Police,Gwent,8,2024,7965,5.99,4,7472,93.8,461,5.8,32,0.4
Hampshire Constabulary,Hampshire,8,2024,26845,9.77,7,23030,85.8,3522,13.1,293,1.1
Hertfordshire Constabulary,Hertfordshire,8,2024,15674,8.16,5,13696,87.4,1749,11.2,229,1.5
Humberside Police,Humberside,8,2024,13962,5.96,4,13180,94.4,725,5.2,57,0.4
Kent Police,Kent,8,2024,30914,5.1,4,29384,95.1,1418,4.6,112,0.4
Lancashire Constabulary,Lancashire,8,2024,25421,8.32,7,22611,88.9,2695,10.6,115,0.5
Leicestershire Police,Leicestershire,8,2024,16800,6.08,4,15802,94.1,810,4.8,188,1.1
Lincolnshire Police,Lincolnshire,8,2024,10491,4.83,3,9919,94.5,531,5.1,41,0.4
Merseyside Police,Merseyside,8,2024,22688,6.56,4,20539,90.5,1917,8.4,232,1
Metropolitan Police Service,Metropolitan,8,2024,195180,14.52,6,156370,80.1,28968,14.8,9842,5
Norfolk Constabulary,Norfolk,8,2024,12509,7.45,5,10949,87.5,1465,11.7,95,0.8
North Wales Police,North-Wales,8,2024,10806,6.8,4,9344,86.5,1361,12.6,101,0.9
North Yorkshire Police,North-Yorkshire,8,2024,10512,9.41,7,8905,84.7,1543,14.7,64,0.6
Northamptonshire Police,Northamptonshire,8,2024,12605,5.98,4,11516,91.4,1039,8.2,50,0.4
Northumbria Police,Northumbria,8,2024,24716,10.69,6,21761,88,2230,9,725,2.9
Nottinghamshire Police,Nottinghamshire,8,2024,18425,6.97,5,16821,91.3,1488,8.1,116,0.6
Police Scotland,Scotland,8,2024,66402,10.4,6,54660,82.3,10223,15.4,1519,2.3
Police Service of Northern Ireland,Northern-Ireland,8,2024,21138,10.67,6,16280,77,4368,20.7,490,2.3
South Wales Police,South-Wales,8,2024,20743,8.19,4,18076,87.1,2224,10.7,443,2.1
South Yorkshire Police,South-Yorkshire,8,2024,23109,7.4,5,20162,87.2,2857,12.4,90,0.4
Staffordshire Police,Staffordshire,8,2024,18527,16.36,5,15120,81.6,1966,10.6,1441,7.8
Suffolk Constabulary,Suffolk,8,2024,10196,11.42,5,8916,87.4,887,8.7,393,3.9
Surrey Police,Surrey,8,2024,14152,7.71,5,12682,89.6,1315,9.3,155,1.1
Sussex Police,Sussex,8,2024,26616,6.53,4,24380,91.6,1909,7.2,327,1.2
Thames Valley Police,Thames-Valley,8,2024,32257,9.67,7,27752,86,4114,12.8,391,1.2
Warwickshire Police,Warwickshire,8,2024,8978,11.39,8,7157,79.7,1658,18.5,163,1.8
West Mercia Police,West-Mercia,8,2024,15463,13.11,5,12863,83.2,1785,11.5,815,5.3
West Midlands police,West-Midlands,8,2024,63337,8.2,6,55372,87.4,7409,11.7,556,0.9
West Yorkshire Police,West-Yorkshire,8,2024,43626,5.99,4,39281,90,4185,9.6,160,0.4
Wiltshire Police,Wiltshire,8,2024,9498,12.26,7,7877,82.9,1315,13.8,306,3.2
Avon and Somerset Constabulary,Avon-and-Somerset,9,2024,25614,9.31,4,22356,87.3,2584,10.1,674,2.6
Bedfordshire Police,Bedfordshire,9,2024,10257,8.63,4,9182,89.5,775,7.6,300,2.9
Cambridgeshire Constabulary,Cambridgeshire,9,2024,11980,6.3,3,10887,90.9,924,7.7,169,1.4
Cheshire Constabulary,Cheshire,9,2024,12028,8.87,5,10419,86.6,1413,11.7,196,1.6
Cleveland Police,Cleveland,9,2024,9240,7.26,5,8043,87,1128,12.2,69,0.7
Cumbria Constabulary,Cumbria,9,2024,5528,8.33,7,4833,87.4,676,12.2,19,0.3
Derbyshire Constabulary,Derbyshire,9,2024,13550,7.43,6,10929,80.7,2614,19.3,7,0.1
Devon & Cornwall Police,Devon-and-Cornwall,9,2024,23375,9.59,7,20904,89.4,2073,8.9,398,1.7
Dorset Police,Dorset,9,2024,10223,10.11,7,8835,86.4,1206,11.8,182,1.8
Durham Constabulary,Durham,9,2024,7908,12.13,7,6362,80.5,1288,16.3,258,3.3
Dyfed-Powys Police,Dyfed-Powys,9,2024,5065,9.56,4,4032,79.6,911,18,122,2.4
Essex Police,Essex,9,2024,25736,11.46,4,20869,81.1,3804,14.8,1063,4.1
Gloucestershire Constabulary,Gloucestershire,9,2024,7348,7.83,4,6129,83.4,1165,15.9,54,0.7
Greater Manchester Police,Greater-Manchester,9,2024,48173,7.31,4,43705,90.7,3719,7.7,749,1.6
Gwent Police,Gwent,9,2024,7354,5.89,4,6864,93.3,452,6.1,38,0.5
Hampshire Constabulary,Hampshire,9,2024,23892,10.63,7,20202,84.6,3239,13.6,451,1.9
Hertfordshire Constabulary,Hertfordshire,9,2024,15316,12.22,5,12151,79.3,2585,16.9,580,3.8
Humberside Police,Humberside,9,2024,12602,5.36,4,11918,94.6,667,5.3,17,0.1
Kent Police,Kent,9,2024,26948,5.05,4,25577,94.9,1298,4.8,73,0.3
Lancashire Constabulary,Lancashire,9,2024,23584,9.23,7,20705,87.8,2601,11,278,1.2
Leicestershire Police,Leicestershire,9,2024,16190,6.46,4,15192,93.8,760,4.7,238,1.5
Lincolnshire Police,Lincolnshire,9,2024,8730,4.48,3,8354,95.7,350,4,26,0.3
Merseyside Police,Merseyside,9,2024,21357,6.94,4,18986,88.9,2119,9.9,252,1.2
Metropolitan Police Service,Metropolitan,9,2024,186893,14.61,6,146422,78.3,31126,16.7,9345,5
Norfolk Constabulary,Norfolk,9,2024,10771,7.42,5,9365,86.9,1339,12.4,67,0.6
North Wales Police,North-Wales,9,2024,9465,8.59,4,7922,83.7,1361,14.4,182,1.9
North Yorkshire Police,North-Yorkshire,9,2024,9170,9.54,7,7749,84.5,1356,14.8,65,0.7
Northamptonshire Police,Northamptonshire,9,2024,11979,5.73,4,10929,91.2,1023,8.5,27,0.2
Northumbria Police,Northumbria,9,2024,22510,11.34,6,19418,86.3,2365,10.5,727,3.2
Nottinghamshire Police,Nottinghamshire,9,2024,17179,6.9,5,15864,92.3,1214,7.1,101,0.6
Police Scotland,Scotland,9,2024,64965,12.02,6,51587,79.4,11057,17,2321,3.6
Police Service of Northern Ireland,Northern-Ireland,9,2024,20517,10.52,6,15347,74.8,4767,23.2,403,2
South Wales Police,South-Wales,9,2024,18554,8.45,4,15971,86.1,2170,11.7,413,2.2
South Yorkshire Police,South-Yorkshire,9,2024,21030,7.66,5,18209,86.6,2718,12.9,103,0.5
Staffordshire Police,Staffordshire,9,2024,16188,13.03,5,13956,86.2,1325,8.2,907,5.6
Suffolk Constabulary,Suffolk,9,2024,8939,9.62,5,7981,89.3,726,8.1,232,2.6
Surrey Police,Surrey,9,2024,13269,10.05,5,11391,85.8,1555,11.7,323,2.4
Sussex Police,Sussex,9,2024,22886,6.05,4,21281,93,1378,6,227,1
Thames Valley Police,Thames-Valley,9,2024,30356,9.71,7,26171,86.2,3783,12.5,402,1.3
Warwickshire Police,Warwickshire,9,2024,8627,10.77,7,7021,81.4,1490,17.3,116,1.3
West Mercia Police,West-Mercia,9,2024,14007,12.03,5,11831,84.5,1538,11,638,4.6
West Midlands police,West-Midlands,9,2024,59654,7.21,5,53922,90.4,5504,9.2,228,0.4
West Yorkshire Police,West-Yorkshire,9,2024,39678,6.2,4,35515,89.5,3980,10,183,0.5
Wiltshire Police,Wiltshire,9,2024,8359,12.49,6,6972,83.4,1085,13,302,3.6
Avon and Somerset Constabulary,Avon-and-Somerset,10,2024,25924,8.03,4,23221,89.6,2263,8.7,440,1.7
Bedfordshire Police,Bedfordshire,10,2024,10242,6.49,4,9555,93.3,525,5.1,162,1.6
Cambridgeshire Constabulary,Cambridgeshire,10,2024,12623,5.64,3,11548,91.5,941,7.5,134,1.1
Cheshire Constabulary,Cheshire,10,2024,12483,6.43,5,11560,92.6,847,6.8,76,0.6
Cleveland Police,Cleveland,10,2024,9797,8.4,5,8041,82.1,1655,16.9,101,1
Cumbria Constabulary,Cumbria,10,2024,5799,8.01,6,5110,88.1,677,11.7,12,0.2
Derbyshire Constabulary,Derbyshire,10,2024,13941,7.38,6,11363,81.5,2559,18.4,19,0.1
Devon & Cornwall Police,Devon-and-Cornwall,10,2024,24335,8.91,7,22183,91.2,1834,7.5,318,1.3
Dorset Police,Dorset,10,2024,10500,10.41,7,9098,86.6,1200,11.4,202,1.9
Durham Constabulary,Durham,10,2024,8692,16.73,6,6507,74.9,1554,17.9,631,7.3
Dyfed-Powys Police,Dyfed-Powys,10,2024,5340,7.85,4,4515,84.6,746,14,79,1.5
Essex Police,Essex,10,2024,26922,11.54,4,22043,81.9,3721,13.8,1158,4.3
Gloucestershire Constabulary,Gloucestershire,10,2024,7499,7.34,4,6350,84.7,1086,14.5,63,0.8
Greater Manchester Police,Greater-Manchester,10,2024,50378,8.79,4,44132,87.6,4903,9.7,1343,2.7
Gwent Police,Gwent,10,2024,7694,6,4,7178,93.3,467,6.1,49,0.6
Hampshire Constabulary,Hampshire,10,2024,24275,9.76,7,21091,86.9,2888,11.9,296,1.2
Hertfordshire Constabulary,Hertfordshire,10,2024,15444,8.13,4,13460,87.2,1776,11.5,208,1.3
Humberside Police,Humberside,10,2024,13248,5.18,4,12586,95,646,4.9,16,0.1
Kent Police,Kent,10,2024,27583,4.88,4,26299,95.3,1220,4.4,64,0.2
Lancashire Constabulary,Lancashire,10,2024,23528,7.64,7,21596,91.8,1874,8,58,0.2
Leicestershire Police,Leicestershire,10,2024,16730,7.81,4,15342,91.7,1035,6.2,353,2.1
Lincolnshire Police,Lincolnshire,10,2024,8819,3.75,3,8514,96.5,286,3.2,19,0.2
Merseyside Police,Merseyside,10,2024,23297,5.95,4,21230,91.1,1893,8.1,174,0.7
Metropolitan Police Service,Metropolitan,10,2024,195184,14.7,6,152608,78.2,32375,16.6,10201,5.2
Norfolk Constabulary,Norfolk,10,2024,10586,7.11,5,9396,88.8,1120,10.6,70,0.7
North Wales Police,North-Wales,10,2024,9187,6.89,4,7853,85.5,1253,13.6,81,0.9
North Yorkshire Police,North-Yorkshire,10,2024,9633,9.12,7,8307,86.2,1286,13.3,40,0.4
Northamptonshire Police,Northamptonshire,10,2024,12212,5.42,4,11298,92.5,895,7.3,19,0.2
Northumbria Police,Northumbria,10,2024,22950,10.37,6,19975,87,2428,10.6,547,2.4
Nottinghamshire Police,Nottinghamshire,10,2024,18133,7.87,5,16576,91.4,1308,7.2,249,1.4
Police Scotland,Scotland,10,2024,61985,11.12,5,50952,82.2,9062,14.6,1971,3.2
Police Service of Northern Ireland,Northern-Ireland,10,2024,20224,9.22,6,17036,84.2,2821,13.9,367,1.8
South Wales Police,South-Wales,10,2024,19751,8.1,4,17064,86.4,2285,11.6,402,2
South Yorkshire Police,South-Yorkshire,10,2024,23511,7.34,5,20625,87.7,2777,11.8,109,0.5
Staffordshire Police,Staffordshire,10,2024,16933,13.19,5,14457,85.4,1522,9,954,5.6
Suffolk Constabulary,Suffolk,10,2024,9405,10.74,5,8302,88.3,789,8.4,314,3.3
Surrey Police,Surrey,10,2024,13598,10.3,4,11391,83.8,1761,13,446,3.3
Sussex Police,Sussex,10,2024,22761,6.46,4,20902,91.8,1560,6.9,299,1.3
Thames Valley Police,Thames-Valley,10,2024,31035,10.04,7,26824,86.4,3750,12.1,461,1.5
Warwickshire Police,Warwickshire,10,2024,8850,10.15,7,7433,84,1317,14.9,100,1.1
West Mercia Police,West-Mercia,10,2024,14701,14.3,5,12052,82,1772,12.1,877,6
West Midlands police,West-Midlands,10,2024,63505,6.47,5,59222,93.3,4194,6.6,89,0.1
West Yorkshire Police,West-Yorkshire,10,2024,41682,6.05,4,37558,90.1,3970,9.5,154,0.4
Wiltshire Police,Wiltshire,10,2024,8988,10,6,7911,88,895,10,182,2
Avon and Somerset Constabulary,Avon-and-Somerset,11,2024,23433,5.91,4,21880,93.4,1395,6,158,0.7
Bedfordshire Police,Bedfordshire,11,2024,9457,6.75,4,8803,93.1,489,5.2,165,1.7
Cambridgeshire Constabulary,Cambridgeshire,11,2024,11500,4.67,3,10797,93.9,640,5.6,63,0.5
Cheshire Constabulary,Cheshire,11,2024,11443,8.18,5,10265,89.7,973,8.5,205,1.8
Cleveland Police,Cleveland,11,2024,8643,8.28,5,7346,85,1196,13.8,101,1.2
Cumbria Constabulary,Cumbria,11,2024,5084,7.59,6,4574,90,503,9.9,7,0.1
Derbyshire Constabulary,Derbyshire,11,2024,13324,6.94,6,11239,84.4,2078,15.6,7,0.1
Devon & Cornwall Police,Devon-and-Cornwall,11,2024,22353,7.89,6,20952,93.7,1253,5.6,148,0.7
Dorset Police,Dorset,11,2024,9663,9.73,7,8544,88.4,968,10,151,1.6
Durham Constabulary,Durham,11,2024,7898,12.54,6,6490,82.2,1080,13.7,328,4.2
Dyfed-Powys Police,Dyfed-Powys,11,2024,4835,7.96,4,4254,88,486,10.1,95,2
Essex Police,Essex,11,2024,24497,11.68,4,20416,83.3,3173,13,908,3.7
Gloucestershire Constabulary,Gloucestershire,11,2024,6942,6.54,4,6048,87.1,862,12.4,32,0.5
Greater Manchester Police,Greater-Manchester,11,2024,46717,6.22,4,43365,92.8,2938,6.3,414,0.9
Gwent Police,Gwent,11,2024,7259,5.75,4,6854,94.4,372,5.1,33,0.5
Hampshire Constabulary,Hampshire,11,2024,22522,8.82,6,20201,89.7,2021,9,300,1.3
Hertfordshire Constabulary,Hertfordshire,11,2024,14676,8.13,4,12806,87.3,1667,11.4,203,1.4
Humberside Police,Humberside,11,2024,12439,5,4,11874,95.5,556,4.5,9,0.1
Kent Police,Kent,11,2024,25425,5.76,4,24228,95.3,1079,4.2,118,0.5
Lancashire Constabulary,Lancashire,11,2024,21638,6.99,6,20163,93.2,1445,6.7,30,0.1
Leicestershire Police,Leicestershire,11,2024,15871,6.85,4,14940,94.1,675,4.3,256,1.6
Lincolnshire Police,Lincolnshire,11,2024,8315,3.38,3,8117,97.6,186,2.2,12,0.1
Merseyside Police,Merseyside,11,2024,21232,6.02,4,19441,91.6,1611,7.6,180,0.8
Metropolitan Police Service,Metropolitan,11,2024,179585,13.9,6,145343,80.9,26045,14.5,8197,4.6
Norfolk Constabulary,Norfolk,11,2024,9782,6.24,5,8961,91.6,783,8,38,0.4
North Wales Police,North-Wales,11,2024,8814,6.39,4,7690,87.2,1054,12,70,0.8
North Yorkshire Police,North-Yorkshire,11,2024,8660,8.3,7,7731,89.3,906,10.5,23,0.3
Northamptonshire Police,Northamptonshire,11,2024,11739,6,4,10668,90.9,1038,8.8,33,0.3
Northumbria Police,Northumbria,11,2024,21450,8.58,6,19568,91.2,1622,7.6,260,1.2
Nottinghamshire Police,Nottinghamshire,11,2024,16627,8.81,5,14909,89.7,1363,8.2,355,2.1
Police Scotland,Scotland,11,2024,57742,9.51,5,49703,86.1,6816,11.8,1223,2.1
Police Service of Northern Ireland,Northern-Ireland,11,2024,18570,8.39,6,15963,86,2399,12.9,208,1.1
South Wales Police,South-Wales,11,2024,18696,7.36,4,16561,88.6,1798,9.6,337,1.8
South Yorkshire Police,South-Yorkshire,11,2024,21626,6.43,5,19628,90.8,1972,9.1,26,0.1
Staffordshire Police,Staffordshire,11,2024,15126,9.55,4,13751,90.9,874,5.8,501,3.3
Suffolk Constabulary,Suffolk,11,2024,8414,8.83,5,7652,90.9,585,7,177,2.1
Surrey Police,Surrey,11,2024,12808,10.22,4,11005,85.9,1381,10.8,422,3.3
Sussex Police,Sussex,11,2024,20866,5.6,4,19618,94,1079,5.2,169,0.8
Thames Valley Police,Thames-Valley,11,2024,28556,8.81,6,25189,88.2,2983,10.4,384,1.3
Warwickshire Police,Warwickshire,11,2024,8066,9.78,7,6920,85.8,1062,13.2,84,1
West Mercia Police,West-Mercia,11,2024,14337,12.22,5,12195,85.1,1533,10.7,609,4.2
West Midlands police,West-Midlands,11,2024,57476,6.03,5,55259,96.1,2119,3.7,98,0.2
West Yorkshire Police,West-Yorkshire,11,2024,38456,5.35,4,35678,92.8,2697,7,81,0.2
Wiltshire Police,Wiltshire,11,2024,7903,9.27,6,7164,90.6,642,8.1,97,1.2
Avon and Somerset Constabulary,Avon-and-Somerset,12,2024,23823,5.5,4,22594,94.8,1107,4.6,122,0.5
Bedfordshire Police,Bedfordshire,12,2024,9565,7.77,4,8776,91.8,574,6,215,2.2
Cambridgeshire Constabulary,Cambridgeshire,12,2024,11610,4.51,3,11014,94.9,527,4.5,69,0.6
Cheshire Constabulary,Cheshire,12,2024,12106,8.61,5,10778,89,1079,8.9,249,2.1
Cleveland Police,Cleveland,12,2024,8548,8.43,5,7231,84.6,1199,14,118,1.4
Cumbria Constabulary,Cumbria,12,2024,5215,8.42,6,4673,89.6,516,9.9,26,0.5
Derbyshire Constabulary,Derbyshire,12,2024,13284,6.84,6,11352,85.5,1927,14.5,5,0
Devon & Cornwall Police,Devon-and-Cornwall,12,2024,22531,7.54,6,21269,94.4,1138,5.1,124,0.6
Dorset Police,Dorset,12,2024,10094,11.32,7,8651,85.7,1192,11.8,251,2.5
Durham Constabulary,Durham,12,2024,8280,11.85,6,6956,84,996,12,328,4
Dyfed-Powys Police,Dyfed-Powys,12,2024,5178,7.87,4,4547,87.8,544,10.5,87,1.7
Essex Police,Essex,12,2024,24765,9.5,4,21154,85.4,2863,11.6,748,3
Gloucestershire Constabulary,Gloucestershire,12,2024,7071,5.97,4,6390,90.4,654,9.2,27,0.4
Greater Manchester Police,Greater-Manchester,12,2024,46337,5.37,4,44019,95,2143,4.6,175,0.4
Gwent Police,Gwent,12,2024,7287,5.74,5,6850,94,413,5.7,24,0.3
Hampshire Constabulary,Hampshire,12,2024,22163,6.54,4,20541,92.7,1466,6.6,156,0.7
Hertfordshire Constabulary,Hertfordshire,12,2024,14730,8.32,4,12881,87.4,1603,10.9,246,1.7
Humberside Police,Humberside,12,2024,12187,4.97,4,11652,95.6,522,4.3,13,0.1
Kent Police,Kent,12,2024,25477,5.28,4,23919,93.9,1485,5.8,73,0.3
Lancashire Constabulary,Lancashire,12,2024,21337,6.25,5,20285,95.1,1021,4.8,31,0.1
Leicestershire Police,Leicestershire,12,2024,15356,7.03,4,14574,94.9,546,3.6,236,1.5
Lincolnshire Police,Lincolnshire,12,2024,8700,3.51,3,8432,96.9,259,3,9,0.1
Merseyside Police,Merseyside,12,2024,21551,6.51,4,19368,89.9,1940,9,243,1.1
Metropolitan Police Service,Metropolitan,12,2024,176955,14.35,6,143225,80.9,25094,14.2,8636,4.9
Norfolk Constabulary,Norfolk,12,2024,10422,6.71,5,9258,88.8,1135,10.9,29,0.3
North Wales Police,North-Wales,12,2024,9098,6.3,4,7817,85.9,1238,13.6,43,0.5
North Yorkshire Police,North-Yorkshire,12,2024,8735,8.25,7,7916,90.6,772,8.8,47,0.5
Northamptonshire Police,Northamptonshire,12,2024,11359,5.58,4,10649,93.7,684,6,26,0.2
Northumbria Police,Northumbria,12,2024,21358,9.37,6,19502,91.3,1427,6.7,429,2
Nottinghamshire Police,Nottinghamshire,12,2024,16356,6.9,5,15246,93.2,958,5.9,152,0.9
Police Scotland,Scotland,12,2024,57942,8.72,5,50966,88,6025,10.4,951,1.6
Police Service of Northern Ireland,Northern-Ireland,12,2024,19900,10.31,6,16719,84,2665,13.4,516,2.6
South Wales Police,South-Wales,12,2024,18582,6.81,3,16851,90.7,1415,7.6,316,1.7
South Yorkshire Police,South-Yorkshire,12,2024,21209,6.22,5,19505,92,1659,7.8,45,0.2
Staffordshire Police,Staffordshire,12,2024,15312,12.03,4,13357,87.2,1166,7.6,789,5.2
Suffolk Constabulary,Suffolk,12,2024,8122,8.19,5,7404,91.2,563,6.9,155,1.9
Surrey Police,Surrey,12,2024,12921,8.28,4,11471,88.8,1142,8.8,308,2.4
Sussex Police,Sussex,12,2024,20713,4.9,4,19830,95.7,784,3.8,99,0.5
Thames Valley Police,Thames-Valley,12,2024,28687,6.91,4,26200,91.3,2136,7.4,351,1.2
Warwickshire Police,Warwickshire,12,2024,8829,11.39,7,7169,81.2,1488,16.9,172,1.9
West Mercia Police,West-Mercia,12,2024,14243,10.52,5,12421,87.2,1356,9.5,466,3.3
West Midlands police,West-Midlands,12,2024,56894,5.8,5,55041,96.7,1799,3.2,54,0.1
West Yorkshire Police,West-Yorkshire,12,2024,38043,5.28,4,35710,93.9,2224,5.8,109,0.3
Wiltshire Police,Wiltshire,12,2024,7900,8.22,6,7208,91.2,621,7.9,71,0.9
Avon and Somerset Constabulary,Avon-and-Somerset,1,2025,22022,5.29,4,21023,95.5,888,4,111,0.5
Bedfordshire Police,Bedfordshire,1,2025,8943,6.74,4,8330,93.1,461,5.2,152,1.7
Cambridgeshire Constabulary,Cambridgeshire,1,2025,11010,4.03,3,10560,95.9,421,3.8,29,0.3
Cheshire Constabulary,Cheshire,1,2025,11292,7.2,5,10170,90.1,996,8.8,126,1.1
Cleveland Police,Cleveland,1,2025,7971,7,5,7040,88.3,880,11,51,0.6
Cumbria Constabulary,Cumbria,1,2025,4995,7.53,6,4556,91.2,428,8.6,11,0.2
Derbyshire Constabulary,Derbyshire,1,2025,12449,6.48,6,11109,89.2,1334,10.7,6,0
Devon & Cornwall Police,Devon-and-Cornwall,1,2025,20996,7.15,6,20026,95.4,917,4.4,53,0.3
Dorset Police,Dorset,1,2025,9112,9.52,7,7991,87.7,997,10.9,124,1.4
Durham Constabulary,Durham,1,2025,7839,16.39,7,6289,80.2,1060,13.5,490,6.3
Dyfed-Powys Police,Dyfed-Powys,1,2025,4396,6.14,4,4010,91.2,356,8.1,30,0.7
Essex Police,Essex,1,2025,22217,8.17,4,19243,86.6,2504,11.3,470,2.1
Gloucestershire Constabulary,Gloucestershire,1,2025,6695,5.25,4,6229,93,457,6.8,9,0.1
Greater Manchester Police,Greater-Manchester,1,2025,43326,5.55,4,41002,94.6,2080,4.8,244,0.6
Gwent Police,Gwent,1,2025,6810,5.63,4,6456,94.8,328,4.8,26,0.4
Hampshire Constabulary,Hampshire,1,2025,20652,5.49,4,19716,95.5,880,4.3,56,0.3
Hertfordshire Constabulary,Hertfordshire,1,2025,13225,6.77,4,12004,90.8,1115,8.4,106,0.8
Humberside Police,Humberside,1,2025,10736,4.78,4,10342,96.3,386,3.6,8,0.1
Kent Police,Kent,1,2025,23631,4.84,4,22555,95.4,1022,4.3,54,0.2
Lancashire Constabulary,Lancashire,1,2025,20234,6.07,5,19350,95.6,864,4.3,20,0.1
Leicestershire Police,Leicestershire,1,2025,14954,6.39,4,14180,94.8,568,3.8,206,1.4
Lincolnshire Police,Lincolnshire,1,2025,7587,3.24,3,7422,97.8,157,2.1,8,0.1
Merseyside Police,Merseyside,1,2025,20671,5.57,3,18983,91.8,1573,7.6,115,0.6
Metropolitan Police Service,Metropolitan,1,2025,165732,10.7,6,144409,87.1,17103,10.3,4220,2.5
Norfolk Constabulary,Norfolk,1,2025,9377,5.84,4,8703,92.8,659,7,15,0.2
North Wales Police,North-Wales,1,2025,7983,7.36,4,6852,85.8,1031,12.9,100,1.3
